walkid,id,time,lat,lon,img,numPeaks,max,avg,min,year,month,day,hour,minute,second,dayofweek,dayname
track12,2014-07-23_18-03-47_37.76360926_-122.42178037,2014-07-23_18-03-47,37.76360926,-122.42178037,2014-07-23_18-03-47_37.76360926_-122.42178037.wav,9,23740.5158494295,18889.5024842314,15663.1224510644,2014,7,23,18,3,47,2,Wednesday
track12,2014-07-23_17-59-04_37.76499436_-122.4197754,2014-07-23_17-59-04,37.76499436,-122.4197754,2014-07-23_17-59-04_37.76499436_-122.4197754.wav,9,15992.7837428817,10952.0596617402,7349.4152855805,2014,7,23,17,59,4,2,Wednesday
track12,2014-07-23_18-02-31_37.76441245_-122.42186702,2014-07-23_18-02-31,37.76441245,-122.42186702,2014-07-23_18-02-31_37.76441245_-122.42186702.wav,9,12445.2928875207,6094.9146521902,4719.2583300462,2014,7,23,18,2,31,2,Wednesday
track12,2014-07-23_18-01-58_37.76480363_-122.42197952,2014-07-23_18-01-58,37.76480363,-122.42197952,2014-07-23_18-01-58_37.76480363_-122.42197952.wav,9,24777.3516909987,9566.5279293198,4472.2221359699,2014,7,23,18,1,58,2,Wednesday
track12,2014-07-23_18-00-20_37.76495834_-122.42082954,2014-07-23_18-00-20,37.76495834,-122.42082954,2014-07-23_18-00-20_37.76495834_-122.42082954.wav,9,30428.8482829367,21793.6082212029,14891.7789750192,2014,7,23,18,0,20,2,Wednesday
track12,2014-07-23_18-00-42_37.76493962_-122.42113755,2014-07-23_18-00-42,37.76493962,-122.42113755,2014-07-23_18-00-42_37.76493962_-122.42113755.wav,9,33047.923959645,14517.2596178935,8691.9984234036,2014,7,23,18,0,42,2,Wednesday
track12,2014-07-23_17-58-09_37.7649799_-122.41963907,2014-07-23_17-58-09,37.7649799,-122.41963907,2014-07-23_17-58-09_37.7649799_-122.41963907.wav,9,41216.7057406031,20325.8524583653,8482.2151135911,2014,7,23,17,58,9,2,Wednesday
track12,2014-07-23_18-03-58_37.76352153_-122.42182977,2014-07-23_18-03-58,37.76352153,-122.42182977,2014-07-23_18-03-58_37.76352153_-122.42182977.wav,9,10410.5763061685,7881.8745418125,5821.055579971,2014,7,23,18,3,58,2,Wednesday
track12,2014-07-23_18-14-45_37.75635476_-122.42119573,2014-07-23_18-14-45,37.75635476,-122.42119573,2014-07-23_18-14-45_37.75635476_-122.42119573.wav,9,7616.1205886491,4754.2783322567,3263.099960421,2014,7,23,18,14,45,2,Wednesday
track12,2014-07-23_18-08-52_37.7600383_-122.42154593,2014-07-23_18-08-52,37.7600383,-122.42154593,2014-07-23_18-08-52_37.7600383_-122.42154593.wav,9,14149.6827464144,9910.042889102,7503.0326967931,2014,7,23,18,8,52,2,Wednesday
track12,2014-07-23_18-00-53_37.76492184_-122.42129066,2014-07-23_18-00-53,37.76492184,-122.42129066,2014-07-23_18-00-53_37.76492184_-122.42129066.wav,9,21110.1530292579,13296.5990609738,10594.5635495448,2014,7,23,18,0,53,2,Wednesday
track12,2014-07-23_18-02-41_37.76428974_-122.42182374,2014-07-23_18-02-41,37.76428974,-122.42182374,2014-07-23_18-02-41_37.76428974_-122.42182374.wav,9,8177.61422487,6416.2932406008,4947.0450044784,2014,7,23,18,2,41,2,Wednesday
track12,2014-07-23_18-01-47_37.76486904_-122.42188474,2014-07-23_18-01-47,37.76486904,-122.42188474,2014-07-23_18-01-47_37.76486904_-122.42188474.wav,9,33372.1426432346,28688.491460654,18681.6149748243,2014,7,23,18,1,47,2,Wednesday
track12,2014-07-23_18-09-46_37.75939128_-122.42147174,2014-07-23_18-09-46,37.75939128,-122.42147174,2014-07-23_18-09-46_37.75939128_-122.42147174.wav,9,28175.1154059557,20584.4172053098,15743.8299458198,2014,7,23,18,9,46,2,Wednesday
track12,2014-07-23_18-05-55_37.76211383_-122.42164604,2014-07-23_18-05-55,37.76211383,-122.42164604,2014-07-23_18-05-55_37.76211383_-122.42164604.wav,9,8708.9353179912,4267.3287824839,3053.9399651292,2014,7,23,18,5,55,2,Wednesday
